"wage","educ","exper","female","married","industry"
3.24000000953674,12,22,1,1,"services"
3,11,2,0,0,"trade"
8.75,16,9,0,1,"profserv"
11.25,18,15,0,0,"trade"
3.59999990463257,12,26,1,0,"trade"
6.25,16,8,1,0,"trade"
8.13000011444092,13,3,1,0,"profserv"
17.3299999237061,16,14,0,1,"profserv"
10.6300001144409,13,16,1,0,"profserv"
4.5,12,36,1,1,"profserv"
6.88000011444092,12,11,1,0,"profserv"
0.529999971389771,12,3,1,0,"services"
6,11,37,1,0,"services"
9.5600004196167,16,3,0,1,"ndurman"
7.78000020980835,16,11,0,1,"trcommpu"
13,14,23,0,1,"profserv"
4.5,14,2,1,0,"trade"
4.67999982833862,12,3,1,0,"services"
4.26999998092651,16,22,1,1,"trade"
6.15000009536743,12,15,1,1,"services"
3.50999999046326,4,39,0,1,"trade"
3,14,3,1,1,"profserv"
6.25,12,11,1,0,"profserv"
7.80999994277954,12,3,1,1,"services"
10,12,20,1,1,"profserv"
4.5,14,16,1,1,"profserv"
4,11,45,1,1,"profserv"
13.6999998092651,15,20,0,1,"profserv"
1.66999995708466,10,1,0,0,"services"
2.9300000667572,12,36,1,1,"trade"
3.65000009536743,14,9,0,0,"trade"
2.90000009536743,12,15,1,1,"services"
1.62999999523163,12,18,1,0,"services"
8.60000038146973,16,3,1,0,"profserv"
5,12,15,0,1,"trade"
3.25,15,3,0,0,"trade"
3.40000009536743,16,1,1,0,"trade"
10,8,13,0,0,"trade"
21.6299991607666,18,8,1,0,"profserv"
4.38000011444092,16,7,0,0,"trade"
11.710000038147,13,40,1,0,"ndurman"
12.3900003433228,14,42,0,0,"profserv"
6.25,10,36,0,0,"trade"
3.71000003814697,10,13,1,0,"profserv"
7.78000020980835,14,9,0,0,"profserv"
6.25,16,7,1,1,"profserv"
10,12,25,0,1,"profserv"
5.71000003814697,16,10,0,1,"profserv"
2,12,3,1,0,"services"
5.71000003814697,16,3,1,0,"trade"
13.0799999237061,17,17,0,1,"profserv"
2.91000008583069,12,20,1,1,"services"
3.75,12,7,1,1,"construc"
11.8999996185303,13,24,0,1,"profserv"
4,12,28,1,1,"profserv"
3.09999990463257,12,2,1,0,"trade"
7.1399998664856,18,13,0,1,"profserv"
4.65000009536743,16,3,0,0,"ndurman"
2.90000009536743,10,4,1,0,"profserv"
3.5,12,6,1,0,"profserv"
3.25999999046326,12,13,1,1,"trade"
3.25,12,14,1,1,"profserv"
8,12,14,1,0,"profserv"
5.90999984741211,12,14,0,1,"trcommpu"
11.7600002288818,14,40,0,1,"trcommpu"
3,12,1,1,0,"trade"
4.80999994277954,12,2,1,0,"profserv"
6.5,12,4,1,0,"profserv"
4,9,19,1,1,"services"
3.5,13,1,0,0,"ndurman"
13.1599998474121,12,34,0,1,"trade"
4.25,14,5,0,1,"trade"
3.5,12,3,0,0,"trade"
5.13000011444092,15,6,1,0,"ndurman"
3.75,12,14,1,1,"services"
4.5,12,35,1,1,"profserv"
7.63000011444092,12,8,1,0,"trcommpu"
6.84999990463257,15,11,1,1,"profserv"
13.3299999237061,12,14,0,1,"trade"
2.52999997138977,12,46,1,0,"trade"
9.80000019073486,17,7,0,1,"services"
3.36999988555908,11,45,0,1,"trade"
5.40000009536743,12,6,0,1,"services"
6.1100001335144,14,15,0,1,"trade"
4.19999980926514,14,33,1,1,"profserv"
3.75,10,15,0,0,"trade"
3.5,14,5,1,1,"profserv"
3.64000010490417,12,7,0,0,"profserv"
3.79999995231628,15,6,0,1,"trade"
3,8,33,1,1,"ndurman"
5,16,2,1,1,"trade"
4.63000011444092,14,4,1,1,"profserv"
3,15,1,0,0,"trade"
3.91000008583069,18,17,0,1,"profserv"
6.42999982833862,16,17,1,1,"profserv"
1.5,8,31,0,0,"trade"
2.90000009536743,10,23,1,0,"profserv"
5,11,13,0,1,"trade"
8.92000007629395,18,3,0,1,"trade"
5,15,15,0,0,"trade"
3.51999998092651,12,48,0,1,"profserv"
2.90000009536743,11,6,1,0,"ndurman"
4.5,12,12,0,1,"trade"
2.25,12,5,1,0,"trade"
5,14,19,0,1,"trade"
3.75,2,39,0,1,"profserv"
10,14,28,1,1,"ndurman"
10.9499998092651,16,23,0,1,"ndurman"
7.90000009536743,12,2,0,0,"construc"
5.84000015258789,13,5,1,1,"profserv"
3.20000004768372,15,2,1,0,"trcommpu"
2,10,3,1,0,"trade"
4.5,12,31,1,1,"profserv"
11.5500001907349,16,20,1,1,"construc"
2.14000010490417,13,34,1,1,"services"
5.51999998092651,13,31,0,0,"trade"
6.5,12,8,1,1,"trcommpu"
3.09999990463257,12,2,1,0,"ndurman"
6.63000011444092,16,3,0,1,"profserv"
10,16,3,0,1,"trcommpu"
2.30999994277954,9,4,1,0,"trade"
6.88000011444092,18,4,0,0,"profserv"
2.82999992370605,10,1,0,0,"trade"
3.13000011444092,10,1,1,0,"trade"
8,13,28,0,1,"services"
4.5,12,47,1,1,"trade"
8.64999961853027,18,13,1,0,"ndurman"
2,13,2,1,0,"services"
4.75,12,48,1,1,"profserv"
6.25,13,6,1,1,"profserv"
6,13,8,0,1,"profserv"
15.3800001144409,13,25,0,1,"profserv"
14.5799999237061,18,13,1,0,"profserv"
5.25,12,19,1,1,"trcommpu"
2.17000007629395,13,1,1,0,"ndurman"
6.21999979019165,12,19,1,1,"profserv"
9,12,11,1,1,"profserv"
10,14,43,0,1,"profserv"
5.76999998092651,10,44,0,1,"profserv"
4,12,22,1,1,"ndurman"
8.75,16,3,0,1,"ndurman"
6.53000020980835,16,3,1,0,"profserv"
7.59999990463257,12,41,1,0,"profserv"
5,14,5,0,0,"trade"
5,12,14,1,0,"profserv"
21.8600006103516,12,24,0,1,"trade"
8.64000034332275,12,28,0,1,"ndurman"
3.29999995231628,12,25,0,1,"trade"
4.44000005722046,12,3,0,0,"trade"
6.25,16,9,0,1,"profserv"
3.84999990463257,16,5,0,1,"trade"
6.17999982833862,14,9,1,1,"profserv"
2.91000008583069,11,1,1,0,"services"
6.25,16,2,1,0,"trade"
6.25,12,13,1,1,"profserv"
9.05000019073486,12,10,0,1,"construc"
11.1099996566772,12,30,0,1,"trade"
6.88000011444092,12,31,0,1,"profserv"
10,8,9,0,1,"construc"
3.04999995231628,12,10,1,1,"trade"
3,12,38,1,1,"services"
5.80000019073486,12,19,1,1,"ndurman"
4.09999990463257,16,5,1,1,"profserv"
6.15000009536743,12,35,1,0,"trade"
2.70000004768372,9,2,1,0,"trade"
2.75,13,1,1,0,"profserv"
3,16,19,1,1,"trade"
3,14,3,1,0,"profserv"
3.5,13,1,0,0,"trade"
8.10000038146973,12,38,1,1,"profserv"
3.75,18,1,0,0,"profserv"
5.82999992370605,8,36,1,1,"profserv"
3.5,8,4,0,0,"trade"
3.32999992370605,12,45,1,1,"trade"
4,14,22,1,0,"construc"
3.5,12,20,1,1,"profserv"
6.25,16,5,0,1,"ndurman"
2.95000004768372,8,15,1,1,"ndurman"
5.71000003814697,13,10,1,1,"trade"
3,9,3,1,0,"services"
9,12,38,0,1,"profserv"
8.32999992370605,15,33,0,1,"profserv"
3,11,2,0,0,"trade"
5.75,14,6,0,1,"trade"
6.76000022888184,12,19,0,1,"ndurman"
10,12,29,0,1,"profserv"
3,12,2,0,0,"construc"
3.5,18,3,1,0,"trcommpu"
3.25,12,4,0,0,"services"
4,12,10,1,0,"profserv"
2.92000007629395,12,4,1,0,"trade"
3.05999994277954,12,14,1,0,"trade"
3.20000004768372,12,15,1,1,"profserv"
3,14,17,1,1,"services"
18.1599998474121,16,29,0,1,"ndurman"
3.5,12,2,1,0,"trcommpu"
4.1100001335144,14,5,0,0,"profserv"
1.96000003814697,11,38,1,0,"services"
4.28999996185303,12,3,1,0,"trade"
3,10,47,0,0,"services"
6.44999980926514,12,7,0,1,"trade"
5.19999980926514,6,47,0,1,"construc"
4.5,13,23,1,0,"trade"
3.88000011444092,12,12,0,1,"trade"
3.45000004768372,10,11,1,0,"trade"
10.9099998474121,12,25,0,0,"trcommpu"
4.09999990463257,14,6,1,1,"services"
3,13,3,0,0,"trade"
5.90000009536743,12,14,0,1,"services"
18,18,13,1,0,"profserv"
4,12,9,0,0,"profserv"
3,12,1,0,0,"services"
3,12,11,1,1,"services"
2.90000009536743,8,49,1,0,"ndurman"
6.26000022888184,13,37,1,1,"profserv"
3.5,13,2,1,0,"trade"
4.59999990463257,14,7,1,1,"trade"
6,12,22,0,0,"trade"
5.57999992370605,16,1,0,1,"profserv"
4,12,43,1,1,"trcommpu"
6,16,2,0,0,"ndurman"
4.5,12,2,1,0,"construc"
2.92000007629395,14,1,0,0,"profserv"
4.32999992370605,18,1,0,0,"trade"
18.8899993896484,17,26,0,1,"profserv"
4.28000020980835,13,1,1,0,"trade"
4.57000017166138,14,37,1,1,"services"
6.25,15,12,1,1,"profserv"
2.95000004768372,14,41,0,1,"profserv"
8.75,12,24,0,0,"ndurman"
3.75,12,18,1,1,"profserv"
3.15000009536743,12,26,0,1,"trade"
5,8,45,0,0,"ndurman"
2,9,2,0,0,"trade"
4.78999996185303,12,41,0,1,"trade"
5.78000020980835,16,11,0,1,"ndurman"
3.1800000667572,12,5,1,1,"profserv"
4.67999982833862,16,3,1,0,"profserv"
4.09999990463257,12,3,1,0,"profserv"
2.91000008583069,12,4,0,1,"trade"
6,13,21,0,1,"ndurman"
3.59999990463257,10,34,1,1,"ndurman"
7,12,6,0,1,"construc"
3,12,26,1,1,"services"
6.07999992370605,16,9,0,0,"services"
8.63000011444092,12,23,0,1,"ndurman"
3,8,33,0,1,"ndurman"
3.75,12,5,1,1,"profserv"
3,4,48,0,1,"ndurman"
6.25,11,35,0,1,"trade"
3.5,11,23,1,0,"ndurman"
3,7,26,1,0,"trade"
3.24000000953674,12,16,1,1,"trade"
8.02000045776367,18,23,1,1,"profserv"
3.32999992370605,12,36,1,1,"profserv"
5.25,16,4,0,0,"ndurman"
6.25,12,10,0,1,"construc"
3.5,14,18,0,1,"trade"
2.95000004768372,12,3,0,0,"trade"
3,10,7,1,1,"profserv"
4,12,8,1,1,"trade"
2.90000009536743,12,17,1,1,"ndurman"
3.04999995231628,12,2,1,0,"profserv"
5.05000019073486,10,5,1,0,"profserv"
13.9499998092651,16,41,0,1,"ndurman"
18.1599998474121,16,35,0,1,"ndurman"
6.25,16,11,0,0,"services"
5.25,12,4,0,0,"ndurman"
4.78999996185303,12,12,1,1,"profserv"
3,8,33,0,1,"trcommpu"
8.43000030517578,16,8,0,1,"ndurman"
5.69999980926514,16,2,0,0,"trade"
11.9799995422363,18,8,0,1,"trcommpu"
3.5,13,29,1,1,"profserv"
4.23999977111816,10,14,0,1,"trade"
7,16,26,1,1,"profserv"
6,14,11,1,1,"profserv"
12.2200002670288,16,10,0,0,"profserv"
4.5,12,13,0,1,"trade"
3,9,23,1,1,"ndurman"
2.90000009536743,11,1,0,0,"trade"
15,11,35,0,1,"ndurman"
4,12,5,0,1,"construc"
5.25,11,13,0,1,"ndurman"
4,12,22,0,1,"ndurman"
3.29999995231628,12,21,1,1,"trade"
5.05000019073486,12,19,1,1,"profserv"
3.57999992370605,12,13,0,0,"services"
5,14,15,0,1,"trade"
4.57000017166138,14,3,0,1,"profserv"
12.5,18,6,0,0,"services"
3.45000004768372,12,6,1,1,"trade"
4.63000011444092,12,16,1,0,"profserv"
10,12,31,0,1,"trade"
2.92000007629395,11,1,1,0,"trade"
4.51000022888184,12,5,0,0,"trade"
6.5,17,3,0,1,"profserv"
7.5,16,11,0,1,"services"
3.53999996185303,13,6,1,1,"profserv"
4.19999980926514,13,11,1,1,"trade"
3.50999999046326,12,7,1,1,"trade"
4.5,14,5,0,1,"construc"
3.34999990463257,14,5,1,1,"trade"
2.91000008583069,11,2,0,0,"trade"
4.05000019073486,8,44,0,1,"ndurman"
3.75,14,13,1,1,"trade"
3.40000009536743,12,26,1,1,"construc"
3,10,2,1,0,"trade"
6.28999996185303,17,10,0,1,"services"
2.53999996185303,9,2,1,0,"trade"
4.5,12,35,1,1,"trade"
3.13000011444092,12,6,1,1,"profserv"
6.3600001335144,14,8,0,1,"trade"
4.67999982833862,16,1,0,0,"ndurman"
6.80000019073486,12,14,0,1,"ndurman"
4.17000007629395,0,22,1,0,"services"
3.75,14,8,1,1,"trcommpu"
11.1000003814697,15,1,1,0,"profserv"
3.25999999046326,16,15,1,1,"trade"
9.13000011444092,12,14,0,1,"ndurman"
4.5,11,37,0,1,"ndurman"
3,11,1,1,0,"profserv"
8.75,12,4,0,1,"profserv"
4.1399998664856,13,29,1,1,"trade"
2.86999988555908,12,45,1,1,"trade"
3.34999990463257,13,22,1,0,"trade"
6.07999992370605,16,42,0,0,"trade"
3,15,9,0,0,"services"
4.19999980926514,16,8,1,1,"profserv"
5.59999990463257,15,31,1,0,"profserv"
10,12,24,0,1,"ndurman"
12.5,18,16,0,1,"profserv"
3.09999990463257,6,14,1,0,"trade"
4.28999996185303,12,47,1,1,"ndurman"
10.9200000762939,12,34,0,1,"profserv"
7.5,16,6,1,1,"profserv"
5,11,24,0,1,"trade"
2.90000009536743,10,18,1,1,"trade"
8.43000030517578,8,27,0,1,"ndurman"
2.92000007629395,9,49,1,0,"services"
6.25,17,4,1,0,"trade"
6.25,16,24,1,1,"profserv"
5.1100001335144,11,3,0,0,"construc"
4,10,2,1,0,"services"
4.44000005722046,8,29,0,1,"trade"
6.88000011444092,13,34,0,1,"services"
5.42999982833862,14,10,0,1,"trade"
3,13,5,1,0,"profserv"
2.90000009536743,11,2,1,0,"trade"
6.25,7,39,0,1,"trade"
4.34000015258789,16,5,1,0,"profserv"
3.25,12,14,1,1,"trcommpu"
7.26000022888184,13,8,0,0,"trade"
5.63000011444092,16,2,0,1,"trade"
8.75,14,9,0,1,"ndurman"
3.20000004768372,11,1,0,0,"trade"
3,14,33,1,1,"profserv"
2.88000011444092,10,2,1,0,"trade"
3.34999990463257,12,9,0,1,"trade"
10.3800001144409,18,16,0,1,"profserv"
4.5,14,10,0,1,"profserv"
10,18,9,0,0,"trcommpu"
3.80999994277954,12,8,1,1,"services"
8.80000019073486,16,9,0,1,"profserv"
9.42000007629395,14,23,1,1,"services"
2.90000009536743,12,37,1,1,"trade"
20,12,22,0,1,"trade"
11.25,17,28,0,1,"ndurman"
3.5,12,14,1,0,"construc"
6,15,19,1,1,"profserv"
14.3800001144409,17,10,0,1,"ndurman"
6.3600001335144,16,25,0,1,"ndurman"
3.54999995231628,12,21,1,1,"ndurman"
3,15,32,0,1,"services"
4.5,16,21,0,1,"trade"
6.63000011444092,12,36,1,0,"trade"
9.30000019073486,15,2,0,1,"trade"
3,12,11,1,1,"trade"
3.25,12,40,1,0,"trade"
1.5,12,11,1,1,"profserv"
8,16,23,0,0,"trade"
2.90000009536743,11,1,1,0,"trade"
3.28999996185303,14,30,0,0,"trade"
6.5,14,41,0,1,"trade"
4,13,6,1,0,"construc"
6,14,11,0,1,"trade"
4.07999992370605,12,43,1,1,"profserv"
3.75,12,39,1,1,"services"
3.04999995231628,8,50,1,0,"ndurman"
3.5,12,26,1,1,"ndurman"
2.92000007629395,3,51,0,0,"services"
4.5,11,3,0,0,"construc"
3.34999990463257,15,3,1,1,"services"
5.94999980926514,11,15,0,1,"construc"
8,12,17,0,1,"trade"
3,4,36,0,1,"construc"
5.5,12,9,0,1,"trade"
2.65000009536743,12,42,1,1,"services"
3,11,3,1,0,"trade"
4.5,12,37,1,1,"profserv"
17.5,16,23,0,1,"trade"
8.18000030517578,13,21,0,0,"trade"
9.09000015258789,15,11,0,1,"trcommpu"
11.8199996948242,16,35,0,1,"trcommpu"
3.25,12,42,1,1,"trade"
3.71000003814697,9,14,0,1,"ndurman"
6.5,10,14,0,1,"trade"
2.90000009536743,12,39,1,1,"profserv"
2.23000001907349,8,28,0,1,"profserv"
5,6,18,1,1,"trade"
8.32999992370605,16,6,0,1,"trcommpu"
2.90000009536743,12,26,1,0,"trade"
6.25,12,21,0,1,"trade"
4.55000019073486,16,34,0,1,"profserv"
3.27999997138977,12,17,1,0,"profserv"
2.29999995231628,10,2,1,0,"trade"
3.29999995231628,13,5,1,0,"profserv"
3.15000009536743,13,1,1,0,"trcommpu"
5.15000009536743,16,39,1,0,"profserv"
3.13000011444092,10,1,0,0,"trade"
7.25,12,14,0,1,"trcommpu"
2.90000009536743,12,2,1,0,"profserv"
1.75,11,2,0,0,"trade"
2.89000010490417,0,42,1,1,"services"
2.90000009536743,5,34,1,1,"ndurman"
17.7099990844727,16,10,0,1,"construc"
6.25,16,4,0,1,"trcommpu"
2.59999990463257,9,4,0,0,"trade"
6.63000011444092,15,21,1,1,"profserv"
3.5,12,31,1,0,"services"
6.5,12,20,0,1,"trade"
3,12,36,1,0,"services"
4.38000011444092,13,7,0,1,"ndurman"
10,12,15,0,0,"services"
4.94999980926514,7,25,0,1,"construc"
9,17,7,1,1,"profserv"
1.42999994754791,12,17,1,1,"trade"
3.07999992370605,12,3,0,0,"profserv"
9.32999992370605,14,12,0,1,"profserv"
7.5,12,18,0,1,"trade"
4.75,13,47,0,1,"trade"
5.65000009536743,12,2,0,0,"construc"
15,16,14,1,1,"profserv"
2.26999998092651,10,2,1,0,"trade"
4.67000007629395,15,13,0,1,"construc"
11.5600004196167,16,5,0,1,"ndurman"
3.5,14,5,1,0,"profserv"
